Category,Question (Bangla),Answer (Bangla)
Crop Advice,"ধান চাষের জন্য উপযুক্ত সার কোনটি?","ধান চাষের জন্য ইউরিয়া, টিএসপি ও এমওপি ব্যবহার করুন।"
Crop Advice,"আলু চাষের জন্য কোন জমি উপযুক্ত?","আলু চাষের জন্য বেলে দোআঁশ জমি উপযুক্ত।"
Crop Advice,"তেল ফসল চাষের জন্য কোন সময়টি ভালো?","তেল ফসল চাষের জন্য শীতকাল (নভেম্বর-ফেব্রুয়ারি) ভালো।"
Crop Advice,"ফসলের জন্য কত পরিমাণ জল দরকার?","ফসলের ধরন অনুযায়ী জলের পরিমাণ ভিন্ন হয়। ধানের জন্য প্রতি দিন ৫-৭ সেমি জল দরকার।"
Crop Advice,"আখ চাষের জন্য কোন মাটি উপযুক্ত?","আখ চাষের জন্য বেলে মাটি উপযুক্ত।"
Crop Advice,"চা চাষের জন্য কত বছরে ফলন পাওয়া যায়?","চা চাষের জন্য প্রথম ফলন পাওয়া যায় ৩-৪ বছরে।"
Disease Control,"গমের পাতায় হলুদ দাগ পড়লে কি করবো?","এটি পাতার মরিচা রোগ হতে পারে, প্রোপিকোনাজোল স্প্রে করুন।"
Disease Control,"আমের পাতায় ছোট ছোট ছিদ্র হলে কি করবো?","এটি হলো আমের পোকার আক্রমণ। কার্বোফুরান ব্যবহার করুন।"
Disease Control,"ডালের গাছে পাতা ঝরে পড়লে কি করবো?","এটি হলো পোকার আক্রমণের লক্ষণ। ম্যালাথিয়ন ব্যবহার করুন।"
Disease Control,"পেঁপের গাছে পাতা ঝরে পড়লে কি করবো?","এটি হলো পোকার আক্রমণ। ম্যালাথিয়ন ব্যবহার করুন।"
Disease Control,"কলার গাছে পাতা হলুদ হলে কি করবো?","এটি হলো পোকার আক্রমণ। কার্বোফুরান ব্যবহার করুন।"
Government Scheme,"কৃষকদের জন্য সর্বশেষ সরকারী স্কিম কি?","বর্তমানে "কৃষক সহায়তা ক" চালু রয়েছে। বিস্তারিত জানার জন্য স্থানীয় কৃষি অফিসে যোগাযোগ করুন।"
Government Scheme,"কৃষকদের জন্য বীমা স্কিম আছে কি?","হ্যাঁ, প্রধানমন্ত্রী ফসল বীমা যোজনা আছে। বিস্তারিত জানতে কৃষি অফিসে যোগাযোগ করুন।"
Government Scheme,"কৃষকদের জন্য সার সহায়তা কি পাওয়া যায়?","হ্যাঁ, সরকার কৃষকদের জন্য সার সহায়তা প্রদান করে। বিস্তারিত জানতে কৃষি অফিসে যোগাযোগ করুন।"
Government Scheme,"কৃষকদের জন্য ঋণ সুবিধা আছে কি?","হ্যাঁ, বাংলাদেশ কৃষি ব্যাংক থেকে কৃষকদের জন্য ঋণ সুবিধা পাওয়া যায়।"
Government Scheme,"কৃষকদের জন্য কৃষি যন্ত্র সহায়তা আছে কি?","হ্যাঁ, সরকার কৃষকদের জন্য ট্রাক্টর, হারভেস্টার ইত্যাদি সহায়তা প্রদান করে।"
Crop Advice,কোন মাটি ভালো চাষের জন্য?,এটেল মাটি
Disease Control,"টমেটো ব্যাকটেরিয়াল স্পট?","এটি ব্যাকটেরিয়াল স্পট রোগ। কপার-ভিত্তিক ফঙ্গিসাইড ব্যবহার করুন।"
Disease Control,"টমেটো আর্লি ব্লাইট","এটি আর্লি ব্লাইট রোগ। পাতা পরিষ্কার করুন এবং ফঙ্গিসাইড ব্যবহার করুন।"
Disease Control,টমেটো ব্যাকটেরিয়াল স্পট?,এটি ব্যাকটেরিয়াল স্পট রোগ। কপার-ভিত্তিক ফঙ্গিসাইড ব্যবহার করুন।
Disease Control,আলুর আর্লি ব্লাইট কি করবো?,এটি আর্লি ব্লাইট রোগ। পাতা পরিষ্কার করুন এবং ফঙ্গিসাইড ব্যবহার করুন।
Disease Control,টমেটো লেট ব্লাইট কি করবো?,এটি লেট ব্লাইট রোগ। ফঙ্গিসাইড ব্যবহার করুন।
Disease Control,কাঁচা মরিচের ব্যাকটেরিয়াল স্পট?,এটি ব্যাকটেরিয়াল স্পট রোগ। কপার-ভিত্তিক ফঙ্গিসাইড ব্যবহার করুন।
Disease Control,টমেটো হলুদ পাতা ভাইরাস?,এটি হলুদ পাতা ভাইরাস রোগ। আক্রান্ত গাছ সরিয়ে ফেলুন।
Disease Control,টমেটো সেপ্টোরিয়া পাতা স্পট?,এটি সেপ্টোরিয়া পাতা স্পট রোগ। ফঙ্গিসাইড ব্যবহার করুন।
